Country/Colony Name,Base Name/Location,Latitude,Longitude,# Bases ,# Lily Pads/Small Bases,# U.S. Funded Host Nation Bases,Notes
AFGHANISTAN,Bagram AB,34.946222,69.264639,9,,,Minimum of 9
AFGHANISTAN,Kandahar Airfield,31.506807,65.847511,,,,(550 bases at height of US occupation) 
AFGHANISTAN,Mazar-e-Sharif,36.707497,67.209892,,,,
AFGHANISTAN,Gardez,33.625017,69.23584,,,,
AFGHANISTAN,Kabul,34.534477,69.150352,,,,
AFGHANISTAN,Herat,34.345236,62.205234,,,,
AFGHANISTAN,Shindand,33.306995,62.136453,,,,
AFGHANISTAN,Sharab,31.537207,64.230651,,,,
AFGHANISTAN,Jalalabad,34.3983,70.500641,,,,
AMERICAN SAMOA,American Samoa,-14.1646,-170.4202,1,,,
ANTARCTICA,McMurdo Station ,-77.85,166.666667,,1,,
ANTIGUA AND BARBUDA,"Antigua Air Station, ST. Johns, Antigua",17.1367,-61.7928,,,,CLOSED 7/15
ARGENTINA,"Trelew, Golfo Nuevo",-43.3,-65.1,,,,Omega VLF communications station (demolished 1998 (though site appears in Harkavy 2007))
ARGENTINA,Chaco,-27.451389,-58.986667,,,1,"""Humanitarian relief center"""
ARUBA,Aruba,12.52111,-69.968338,,1,,
ASCENSION ISLAND,Ascension Island,-7.946717,-14.355916,1,,,
AUSTRALIA,"Exmouth, Northwest Cape",-21.882527,114.1333,1,,,BSR=6
AUSTRALIA,Alice Springs,-25.274398,133.77514,1,,,
AUSTRALIA,"Darwin, Robertson Barracks",-12.445,130.974444,1,,,
AUSTRALIA,"Kojarena, near Geraldton MUOS, ECHELON Intel and Communications Site",-28.695,114.842222,,1,,
AUSTRALIA,Tindal AB,-14.521111,132.377778,,1,,
"BAHAMAS, THE",Andros Island,24.706381,-78.019539,6,,,
BAHRAIN,Manama,26.216667,50.583333,7,,,See Al Jaz. Map for 3 locs
BAHRAIN,Al Jufayr,26.211111,50.601111,,,,
BAHRAIN,Isa Air Base,25.918333,50.590556,,,,
BAHRAIN,Mina Salman,26.201,50.607,,,,prepositioning (prepo)
